Temperature,Feedings,Offspring,,
70F,1,18,,
70F,1,20,,
70F,1,15,,
70F,1,27,,
70F,1,30,,
75F,1,20,,
75F,1,28,,
75F,1,30,,
75F,1,17,,
75F,1,29,,
80F,1,35,,
80F,1,30,,
80F,1,32,,
80F,1,28,,
80F,1,35,,
70F,2,25,,
70F,2,30,,
70F,2,19,,
70F,2,30,,
70F,2,25,,
75F,2,28,,
75F,2,29,,
75F,2,32,,
75F,2,38,,
75F,2,29,,
80F,2,35,,
80F,2,39,,
80F,2,30,,
80F,2,40,,
80F,2,38,,
70F,3,28,,
70F,3,36,,
70F,3,29,,
70F,3,30,,
70F,3,37,,
75F,3,33,,
75F,3,39,,
75F,3,42,,
75F,3,47,,
75F,3,38,,
80F,3,51,,
80F,3,42,,
80F,3,48,,
80F,3,39,,
80F,3,55,,
