Weight,Width,Length
13,26.4,36.7
13,26.5,36.5
12,26.4,34.3
13.5,27.1,37.1
15.5,28.3,38.1
15,28,37.2
15,28,38.1
14,27.2,37.5
14,27.7,36.7
15,27.6,38.3
14.5,28,36.5
14.5,27.2,39.5
14.5,26.8,39.1
13,26,39.6
13,26,36.9
12.5,27.3,36.4
12,26.7,36
12.5,27.3,36.5
12.5,26.8,37.1
14.5,27.2,37.6
14.5,27.4,39.5
13.5,27.8,38.1
13.5,27.4,37.4
13.5,26.9,38.5
14,27.4,37.8
15.5,28.7,38
15.5,28.4,39
16,28.4,39
12.5,26.3,37.6
13,26.5,37.6
12,25.9,37.1
14,27.1,38.3
15,27,42
14.5,27.3,39.6
14,27,37.8
15,27.2,40.2
12,27.5,35.3
12.5,27.3,34.3
13,26.3,38.1
13,26.4,38.2
13,28.3,39.3
14,29.4,38.7
15,28.4,39.6
14,27.7,39.3
